event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006049983,2020-01-30T18:00:29Z,2020-01-30T16:08:06Z,STARTED,29/10,3/10,23/2,True,1/6,1,1,88
1006105979,2020-01-30T18:00:29Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,91
1006103903,2020-01-30T18:00:29Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,70
1006105984,2020-01-30T18:00:29Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:00:29Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,29
1006107245,2020-01-30T18:00:29Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,29
1006107510,2020-01-30T18:00:29Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,26
1006042012,2020-01-30T18:00:29Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,25
1006098224,2020-01-30T18:00:29Z,2020-01-30T18:00:00Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:00:56Z,2020-01-30T16:08:06Z,STARTED,16/5,3/10,23/2,True,1/6,1,1,88
1006105979,2020-01-30T18:00:56Z,2020-01-30T16:11:35Z,STARTED,,,,,,4,1,92
1006103903,2020-01-30T18:00:56Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,70
1006105984,2020-01-30T18:00:56Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:00:56Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,30
1006107245,2020-01-30T18:00:56Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,29
1006107510,2020-01-30T18:00:56Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,27
1006042012,2020-01-30T18:00:56Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,26
1006098224,2020-01-30T18:00:56Z,2020-01-30T18:00:00Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:01:24Z,2020-01-30T16:08:06Z,STARTED,7/2,6/25,14/1,True,1/6,1,1,89
1006105979,2020-01-30T18:01:24Z,2020-01-30T16:11:35Z,STARTED,,,,,,4,1,92
1006103903,2020-01-30T18:01:24Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,71
1006105984,2020-01-30T18:01:24Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:01:24Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,30
1006107245,2020-01-30T18:01:24Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,30
1006107510,2020-01-30T18:01:24Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,27
1006042012,2020-01-30T18:01:24Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,26
1006098224,2020-01-30T18:01:24Z,2020-01-30T18:00:00Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:01:51Z,2020-01-30T16:08:06Z,STARTED,4/1,6/25,14/1,True,1/6,1,1,89
1006105979,2020-01-30T18:01:51Z,2020-01-30T16:11:35Z,STARTED,,,,,,4,1,92
1006103903,2020-01-30T18:01:51Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,71
1006105984,2020-01-30T18:01:51Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:01:51Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,31
1006107245,2020-01-30T18:01:51Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,30
1006107510,2020-01-30T18:01:51Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,27
1006042012,2020-01-30T18:01:51Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,27
1006098224,2020-01-30T18:01:51Z,2020-01-30T18:00:00Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:02:18Z,2020-01-30T16:08:06Z,STARTED,9/2,2/11,14/1,True,1/6,1,1,90
1006105979,2020-01-30T18:02:18Z,2020-01-30T16:11:35Z,STARTED,,,,,,4,1,92
1006103903,2020-01-30T18:02:18Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,72
1006105984,2020-01-30T18:02:18Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:02:18Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,90/1,False,3/10,2,0,31
1006107245,2020-01-30T18:02:18Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,31
1006107510,2020-01-30T18:02:18Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,28
1006042012,2020-01-30T18:02:18Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,27
1006098224,2020-01-30T18:02:18Z,2020-01-30T18:02:03Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:02:46Z,2020-01-30T16:08:06Z,STARTED,47/20,2/5,11/1,True,1/6,1,1,90
1006103903,2020-01-30T18:02:46Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,72
1006105984,2020-01-30T18:02:46Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:02:46Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,90/1,False,3/10,2,0,32
1006107245,2020-01-30T18:02:46Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,31
1006107510,2020-01-30T18:02:46Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,28
1006042012,2020-01-30T18:02:46Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,28
1006098224,2020-01-30T18:02:46Z,2020-01-30T18:02:03Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,0
1006049983,2020-01-30T18:03:14Z,2020-01-30T16:08:06Z,STARTED,5/2,2/5,11/1,True,1/6,1,1,91
1006103903,2020-01-30T18:03:14Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,73
1006105984,2020-01-30T18:03:14Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:03:14Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,90/1,False,3/10,2,0,32
1006107245,2020-01-30T18:03:14Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,32
1006107510,2020-01-30T18:03:14Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,29
1006042012,2020-01-30T18:03:14Z,2020-01-30T17:34:41Z,STARTED,1/3,3/1,17/2,False,11/10,1,0,28
1006098224,2020-01-30T18:03:14Z,2020-01-30T18:02:03Z,STARTED,1/5,5/1,10/1,False,1/5,0,0,1
1006049983,2020-01-30T18:03:41Z,2020-01-30T16:08:06Z,STARTED,27/10,2/5,11/1,True,1/6,1,1,91
1006103903,2020-01-30T18:03:41Z,2020-01-30T16:31:42Z,STARTED,55/1,9/1,1/20,False,7/25,0,1,73
